sentence,sentiment,dictionary_classification
turnaround buy ? bhp billiton plc home retail group plc,positive,positive
pivotal research upgrade $ googl buy . # stocktrade,positive,positive
sale tiimari segment fall . % year -- year eur . june .,neutral,-1
"choose efficient , good overall value option customer already bidding stage .",positive,positive
new recommendation carl kirst bmo capital markets $ wmb buy.price target $ :,positive,positive
"maximum obligate total trade per day isk , , market value .",neutral,neutral
share entitle one vote .,neutral,neutral
citigroup sell onemain springleaf $ . billion,positive,positive
peigs become part sardus latta maltider light meals unit .,neutral,neutral
"w+ñrtsil+ñ ' solution select low fuel consumption , environmentally sound technology , global service support .",positive,positive
"accord heikkil+ñ , ` ` refreshment energy '' soon find soft drink also finland .",neutral,neutral
order value usd . .,neutral,neutral
contract worth eur million .,neutral,-1
"adp news - nov , - finnish retail software developer aldata solution oyj omx : aldv say today swing net profit eur . million usd . first nine month versus net loss eu",positive,positive
"operate profit total eur . mn , eur . mn year .",neutral,-1
company reiterate outlook .,neutral,neutral
"product delivery interrupt , refiner say , give financial detail .",neutral,neutral
issue come connection discussion local municipality concern sale water industrial facility .,neutral,neutral
growth net sale first half % compare first half .,positive,positive
"harold w. young independent broker work closely several retailer include ahold usa , market basket , cvs , bj ' wholesale club , hannaford cumberland farms .",neutral,neutral
academic claim google android two - factor authentication breakable . # security # authentication # hack $ goog,negative,negative
"initially , company say maximum people would make redundant parent company subsidiary .",negative,-1
new kveyt light variety suomalainen pekoni market atria brand name available consumer finland .,positive,positive
"` ` ' happy outcome , '' sneed say hearing .",positive,positive
supermarket stock rally tesco plan axe non - core uk assets $ tsco,positive,positive
"last year company raise turnover approximately million lita eur mln , . million lita .",positive,positive
company say fall turnover plan .,negative,-1
"decision mean temporary lay - off fix duration company ' nastola jyvaskyla unit , southern central finland , respectively .",negative,-1
"next year , ict sector ' share electricity consumption raise increase popularity smartphone .",neutral,neutral
"total value agreement usd . , company say .",neutral,neutral
"fair value investment property total eur , . mn , compare eur , . mn corresponding period .",positive,positive
"body es vostok also own stake power sale company mosenergosbytbody ( rts : mssb ) ( . % ) , altaienergosbyt ( % ) , saratovenergo ( rts : sare ) body ( . % ) tambov power sales company ( rts : tasb ) ( . % ) , ofbodywhich receive distribution balance .",neutral,neutral
germanwing disaster affect image budget air travel - easyjet,neutral,neutral
update -bp shareholder back disclosure climate change risk,neutral,neutral
"bilfinger investor cheer agreement , push share % , & euro ; . , & euro ; . , afternoon trade .",positive,positive
contract include option deliver additional asc next phase project .,neutral,neutral
amazon declare ' well ever ' black friday cyber monday kindle family via engadget $ amzn,positive,positive
"nokia continue invest future development qt , digia responsible commercial licensing service business .",neutral,neutral
stockmann earn . million lat profit . million lat turnover .,neutral,neutral
intertek group announce strategic update outline plan,neutral,neutral
"turnover surge eur . eur . due increase service demand , especially third quarter , overall growth business .",positive,positive
"eu regulator clear $ billion - plus ab inbev , sabmiller deal",positive,positive
update -meggitt reiterate annual outlook tough,neutral,neutral
"target company : tieto corporation , business identity code : - date change hold : january portion share vote : current group hold op - pohjola group central cooperative ( opk ) share , represent . % share voting right .",neutral,neutral
exel wants serve industrial customer individual product .,neutral,neutral
measure take cause one - time cost final part .,neutral,neutral
+ ñkel+ñ demand new board company well discussion merger alma medium medium company talentum .,neutral,neutral
vaisala ' expertise lightning datum information system base extensive experience investment r & .,neutral,neutral
result person long need .,negative,-1
sale increase due grow market rate increase operation .,positive,positive
"frost sell share $ million $ .- . per share , compare friday ' high $ . low $ . .",negative,-1
"$ chkp abc bullish pattern , target",positive,positive
sanofi poache astrazeneca scientist new research head,neutral,neutral
$ nsm ascend base breakout start gain traction ; strong stock,positive,positive
", stora enso ' net loss eur . million compare eur . million previous year .",neutral,-1
"sale come mln eur , compare . mln , also beat consensus forecast mln eur .",positive,positive
active shipping essential finland .,neutral,neutral
"$ tsla lot green min , watch hourly $ . possible resistance currently @ $ .",positive,positive
deal process crane russian steel mill pntz pervorouralsky order place turkish construction company gama endustri tesisleri imalat montaj .,neutral,neutral
"month ago , teva vice chairman phillip frost marathon venture capital fund tase : mara sell protalix share .",neutral,neutral
"estonian electronic component factory , elcoteq , run material closure air traffic .",negative,-1
"bp , statoil , withdraw staff algeria follow rocket attack",negative,negative
competition authority approve deal finalize .,neutral,neutral
mr. koistinen join nokia siemens networks hold various senior sale management business development position since .,neutral,neutral
$ fb churn high volume @ ipo price . lot ' seller try get . might take consolidate move higher .,negative,negative
"finnish scanfil , contract manufacturer system supplier communication industrial electronic report net sale eur . mn first half , eur . mn year early .",negative,-1
sale security system packaging increase slightly .,positive,positive
"typically , transmission power level decrease interference noise predefine value .",neutral,neutral
"operate profit nine - month period decrease eur . net sale increase eur . , compare corresponding period .",negative,-1
"accord tiimari , consumer advise cut away rabbit bow tie contain formadehyde dispose .",neutral,neutral
"deal cover stockmann auto oy ab ' sale -sale service concern volkswagen audi helsinki , espoo vantaa .",neutral,neutral
asahi could snap sabmiller ' beer ahead ab inbev sale,positive,positive
"previously , plant expect complete end .",neutral,neutral
"-real , part finnish paper maker metsaliitto group , due release second - quarter report around : eet august .",neutral,neutral
capital base capital adequacy measurement base approach basel ii .,neutral,neutral
"dividend pay april , shareholder record date april , enter list shareholder keep finnish central securities depository ltd. .",neutral,neutral
"deliveries nokia , nokia nokia expect start second quarter .",neutral,neutral
$ tsla love type article . ss interest rise / day hit low .,negative,negative
"` ` line stone sale also good early autumn , order book strong end year .",positive,positive
"buy jumbo yielders british american tobacco plc , centrica plc & john wood group plc ?",positive,positive
short - term license game cost little $ purchasing game outright cost much $ $ .,neutral,neutral
"` ` extensive co - operation also bolster sysopen digia ' position domestic operator market , '' kallioranta add .",positive,positive
"accord ceo nordea bank estonia vahur kraft , nordea finland stockmann cooperate ten year .",positive,positive
volume expect increase next year .,positive,positive
"maybe close $ aapl call morning bad idea , money leave table ...",positive,positive
incap estimate generate revenue mln euro ( $ . mln ) indian operation .,neutral,neutral
"additionally , company use solution automate preparation financial statement accord ifrs standard .",neutral,neutral
- cash flow operating activity investment eur . million eur . million .,neutral,neutral
` ` lemminkainen talo oy ' lahti office significant logistic business premise constructor .,neutral,neutral
$ nugt long term bullish,positive,positive
"shock phase ' , consumer start plan implement building project .",neutral,neutral
"found , fiskars year product quality excellence finland ' old company .",neutral,neutral
"biohit say reduce number lease personnel , lie personnel .",negative,-1
"scanfil , system supplier contract manufacturer communication sector , start personnel negotiation oulu , finland , lie staff temporarily .",neutral,-1
"omx nordic omxn index , comprise trade nordic stock nasdaq omx exchange , close . % , . point thursday .",neutral,-1
"exclude non - recurring item , pre - tax profit surge % eurm .",positive,positive
"also , six - year historic analysis provide market .",neutral,neutral
amount include pensionable salary .,neutral,neutral
$ aapl aug call + % .c :,positive,positive
"q , company ' operating loss total eur . mn , compare profit eur . mn q .",negative,-1
finnish rautaruukki ' engineering division ruukki engineering -organise operation mo rana plant norway .,neutral,neutral
"ensure low operational cost radio network , bts module configure , software upgrade diagnose remotely .",positive,positive
"q , company ' result taxis continue operation , exclude non - recurring item , total eur - . mn , compare eur - . mn corresponding period .",neutral,-1
ceo company tarmo noop say growth sale premium beer big .,positive,positive
finnish fiber plastic producer suominen corporation omx helsinki : suyv report wednesday october operate loss eur . net sale eur . third quarter .,neutral,neutral
delivery start network ready launch soon .,positive,positive
"alexandria , va. , nov. -- erkki aho , elimaki , finland , develop method apparatus conjunction shoe press .",neutral,neutral
"sale improve sek , mn , compare sek , mn .",positive,positive
net sale fall % previous accounting period .,negative,-1
"last year , upm cut production , closed mill finland slash job .",neutral,-1
japan ' asahi submit bid next week sabmiller ' grolsch peroni - yomiuri,positive,positive
"operate result show loss eur . mn , year , show profit eur . mn .",neutral,-1
"operate loss non - recurring item eur . mn , compare profit eur . mn .",negative,-1
would like see change nokia ' next attempt ?,neutral,neutral
company release result february .,neutral,neutral
"orange - handle scissor fiskars part permanent design collection museum modern art new york , well philadelphia museum art .",neutral,neutral
u .. energy executive say high steel price threaten energy exploration .,neutral,-1
"currently , yit build housing estate zapadnye vorota , square metre city house , square metre , complete end .",neutral,neutral
"fiskars , world ' scissors brand tm , recently learning - « magazine ' teachers ' choice award classroom .",positive,positive
chief executive officer olli - pekka kallasvuo ' change tuesday mark third time nine month company reshuffle executive operation nokia lose ground apple ' iphone rim ' blackberry .,neutral,-1
nokia u .. share . percent low $ . gmt .,negative,-1
"operate profit -month period decrease eur . , net sale increase eur . , compare .",negative,-1
"total , , stock option issue stock option scheme .",neutral,neutral
"stage , maximum , tulikivi series share acquire , represent . per cent company - ¦ share outstanding .",neutral,neutral
acquisition support strategy close customer around world offer equipment relate service .,positive,positive
barclays bonds rise lender cuts dividends shore capital,positive,positive
$ inve : see ya $,positive,positive
group ' revenue amount eur million company currently employ approximately people .,neutral,neutral
"estonian telecom company elisa ' customer number cross , tallinn , oct , bns - estonian telecommunication company elisa approximately , new client nine month year , bring number , end september , company say .",positive,positive
construction expect complete summer .,neutral,neutral
poyry global expert consulting engineering .,neutral,neutral
"vaisala oyj stock exchange release .. klo . ( ) annual general meeting vaisala oyj decide march , approve company ' annual account .",neutral,neutral
net sale increase eur . eur . pretax profit rise . % eur . . ( eur = usd . ),positive,positive
operate profit fourth quarter go eurm eur . corresponding period include cost growth project .,neutral,-1
comptel corporation sami ervio president ceo distribution : nasdaq omx helsinki major medium comptel dynamic oss solution enable telecom service provider deliver service flexibly charge effectively .,neutral,neutral
` ` vaalipalvelu - service especially develop use community organization .,neutral,neutral
announcement come two week key licensing agreement expire two company embroil disagreement royalty payment texas instrument chip use qualcomm - patent technology .,negative,-1
according post world intellectual property organization : ` ` present invention relate hydrocarbon particularly manufacture hydrocarbon component suitable aviation fuel jet fuel blend stock aviation fuel .,neutral,neutral
"order consist total , panel lift - away weatherdeck hatch cover deliver container vessel capacity range , , teu .",neutral,neutral
company support global customer develop new technology offer fast route product development application volume production .,neutral,neutral
". , huhtamaki market ' big faller , . pct low . eur , omx helsinki . pct high , . , omx helsinki . pct , . .",neutral,-1
imperial tobacco add quarterly dividends profit rose,positive,positive
$ nflx + % $ . long stream service rapidly outpace traditional cable,positive,positive
"buyer real estate owner propertos oy , company agree disclose financial detail deal .",neutral,neutral
"however , broker give ` ` outperform '' recommendation stock .",positive,positive
airbus firm order nonbinde commitment .,positive,positive
"den bosch - base tomtom europe ' large maker automotive navigation device , cayman islands - base garmin large u .. overall .",neutral,neutral
also construction expense go russia .,neutral,-1
double bottom handle buy point . $ wmt,positive,positive
"aspo plc stock exchange release february , . .. esl shipping ltd , part aspo group , sign new , long - term contract rautaruukki corporation marine transport raw material baltic sea .",positive,positive
update -lloyds cut job part -year restructuring plan,negative,negative
"` ` long , unprofitable period food division post profitable result , speak healthy cost structure new approach business operation , '' rihko say .",positive,positive
"aspocomp group , headquarter helsinki , finland , develop interconnection solution electronic industry .",neutral,neutral
"economic development trade ministry industry energy ministry , along kostroma regional administration russian lumberman timber exporters union , carry work acquire investment construction pulp paper mill neya since .",neutral,neutral
$ rimm $ spx $ nya $ compq $ djia go,negative,negative
"september - finnish stationery gift retailer tiimari hel : tiiv say today net sale rise % year -- year eur . august , drive growth finland , demand baltics remain weak .",positive,positive
communication disclaim liability information provide within information world wide web .,neutral,neutral
"note client publish , dutch broker describe company ' third quarter result ` soft ' , although also note elcoteq retain guidance , dealer say .",neutral,neutral
"firm ' uk head office rugby road , lutterworth .",neutral,neutral
"omx nordic ( omxn ) index , comprise trade nordic stock nasdaq omx exchange , close . % , . point wednesday .",positive,positive
"addition software development , new design unit provide mechanical engineering electronic design .",neutral,neutral
crh ' concrete bid holcim lafarge asset,positive,positive
"net sale financial year expect amount eurm operating result ebit expect loss , announce .",neutral,-1
"seller finnish elcoteq group , large european electronic manufacturing service company .",neutral,neutral
sale unit slump last year industry hit poor snowfall major resort winter - .,neutral,-1
"salcomp oyj , finnish maker mobile phone charger , monday post eur . million loss second quarter compare . million profit period previous year .",neutral,-1
finnish cargotec award significant order total hiab loader crane bae systems us .,positive,positive
company expect net sale whole remain level .,negative,-1
employee negotiation address measure need adjust operation present production situation .,neutral,neutral
"dji overbought : $ aapl , $ axp , $ ba , $ cvx , $ ibm , $ intc , $ vz",negative,negative
"steve jackson , ebusiness analyst satama former ceo aboavista say : ` ` google break mold give away google analytics free .",neutral,neutral
"` ` ' delighted move '' say morna cowie , co - owner , , ` ` ' double size current shop lovely feel . ''",positive,positive
"via plant , belgian company feed . mw electricity distribution grid able deliver mw heat .",neutral,neutral
"money spread mainly , company say .",neutral,neutral
"growth rate , pay national debt extremely painful .",neutral,-1
agreement strengthen long - term partnership nokia siemens networks .,positive,positive
"section put place form load - bear steel structure bridge , '' say sami eronen , senior vice president , infrastructure northern europe , ruukki construction .",neutral,neutral
"production capacity triple without major additional investment , company say .",positive,positive
sabmiller buy meantime quench thirst craft beer,positive,positive
finnish outotec award contract supply new zinc roaster gas cleaning sulphuric acid plant ozk kardzhali zinc smelter bulgaria .,positive,positive
"customer forward site , unknown log first number .",neutral,neutral
"capman , asset manager , eur bn worth asset management nordic region .",neutral,neutral
l & ' net profit whole drop eur million eur million .,neutral,-1
vacon recently announce plan build north american headquarters business park chambersburg .,neutral,neutral
"incap , headquarter oulu , finland , electronic contract manufacturer employee finland , estonia india .",neutral,neutral
"pretax loss total eur . mn , compare loss eur . mn corresponding period .",negative,-1
"vaisala group successful international technology company develop , manufacture market electronic measurement system product .",positive,positive
earning per share eps first quarter amount loss eur . .,neutral,-1
"san francisco ( marketwatch ) -- nokia corp , world ' large cell - phone maker , use consumer electronics show las vegas introduce high - end , thin fold phone , accord medium report monday .",neutral,neutral
"production facility july - finnish investment group neomarkka oyj ( hel : nembv ) say today buy former production facility kuitu finland ltd , part negotiation option invest specialty cellulose fiber business .",neutral,neutral
valeant ceo pledges heed critics ` painful ' experience,negative,negative
vacon ' cash flow operation grow eur . mn eur . mn year ago .,positive,positive
valeant say name new ceo pearson still hospitalize,neutral,neutral
"seven - month sale ragutis , control finnish brewery olvi , decline . percent , . million liter , company hold . percent market .",negative,-1
company able keep market position .,positive,positive
"` ` purchase , cramo become second large rental service provider latvian market .",positive,positive
"operate profit eur . mn , eur . mn .",positive,-1
pentik+ñinen emphasise internet content medium house provide free forever .,neutral,neutral
"dopplr member share personal business travel plan privately network , highlight interesting place stay , eat explore city around world .",neutral,neutral
company estimate net sale increase considerably operating result clearly positive .,positive,positive
currency conversion base exchange rate time deal .,neutral,neutral
$ intc finally nice downside move ... look handle break,negative,negative
"efore ' presence also open new interesting development opportunity student , '' dean faculty electronics , communications automation tkk say .",positive,positive
@nasdboy think dnf crew get $ nflx short next day head earning,negative,negative
"build home improvement trade , sale decrease . % , total eur . mn .",neutral,-1
issuer solely responsible content announcement .,neutral,neutral
london stock exchange seal â£ billion merger germany ' deutsche bã¶rse,positive,positive
diluted earning per share ( eps ) rise eur . versus eur . .,positive,positive
finnish media company talentum oyj ' net profit decrease . mln euro ( $ . mln ) first quarter . mln euro ( $ . mln ) period .,neutral,-1
price delivery volume broadband product decrease significantly .,negative,-1
london morning briefing : hsbc standard chartered shares rise,positive,positive
@dojiknows th sp potential qnx bes bbm cross platform bring good news time $ bbry,positive,positive
"` ` ' issue thief steal building site , '' say mr smith .",negative,-1
` ` government professional approach assess offer .,positive,positive
travis perkins hikes dividend % profit revenue rise,positive,positive
stichte pensioenfond abp : share represent . % share capital voting right .,neutral,neutral
"fourth quarter , orion ' net profit go . % year -- year eurm .",positive,positive
"bawag - issue benchmark , cover deal .",neutral,neutral
outotec ' net profit second quarter jump . mln euro ( $ . mln ) . mln euro ( $ . mln ) year ago .,positive,positive
"fortum expect annual capital expenditure next four five year within range eur .- . billion , early announce .",neutral,neutral
"since association ' datum cover sale figure small local brewery sale import beer product , actual market share member small give report .",negative,-1
per - share subscription price share subscribe option right eur . .,neutral,neutral
altia ' operating profit jump eur million eur . million .,positive,positive
nokia siemens networks struggle make profit past two year .,neutral,-1
"vuokatti unit develop focus especially manufacture prototype , ramp- new product demand testing -sale service .",neutral,neutral
"invention , release patent office , say : ` ` non - coherent search matrix form say correlation function matrix .",neutral,neutral
group reiterate forecast handset manufacturer sell around mln unit year globally .,neutral,neutral
earning comparative period include capital gain eur mn sale omx share .,neutral,neutral
$ fb small long . via call,positive,positive
", significant sale increase . % russia .",positive,positive
finnish component supplier componenta corporation omx helsinki : cthv say monday june change pricing cycle due increase raw material price .,neutral,neutral
"financial , strategic operational factor consider .",neutral,neutral
gs slide balance sheet worry,negative,negative
"july - finnish steel maker rautaruukki oyj hel : rtrks , ruukki , say today turn net profit eurm second quarter net loss eurm corresponding period last year .",positive,positive
overall effect -mentione measure glaston recognize non - recurring expense eur million fourth quarter .,neutral,neutral
operate profit rise eur . mn eur . mn corresponding period .,positive,positive
company report net sale mln euro $ . mln operating margin pct .,neutral,neutral
merged lse deutsche bã¶rse would lead germany ' kengeter,positive,positive
"total delivery volume paper business , , tonne , , , tonne .",positive,positive
"acquisition , company expand offer north , central south america , say .",positive,positive
"together latvia , cramo operate rental outlet baltic states .",neutral,neutral
"value contract eur . . poyry , headquarter vantaa , finland provide consulting engineering service energy , forestry infrastructure & environment sector .",neutral,neutral
"` ` subscriber browse free number handset , select number , package service prefer activate phone .",neutral,neutral
connectivity services include outsource scan capture transfer paper invoice electronic format basware business transactions service enable customer receive send invoice electronic format .,neutral,neutral
"time , sale development russia boost opening stockmann nevsky centre st petersburg .",positive,positive
"board directors propose shareholder ' meeting march company would pay dividend financial year january - december , , eur . per share .",neutral,neutral
rbs chairman admit surprise size regulatory penalty,negative,negative
ramirent finland domestic unit machinery rental company ramirent oyj hel : rmrv .,neutral,neutral
"like mechanical pipettor biohit , also proline plus ce - ivd mark come -year warranty .",neutral,neutral
"early today , geberit ' finnish rival uponor oyj cut full - year sale growth forecast pct pct , blame tough condition germany us , well currency factor .",neutral,-1
invention carry international patent publication . .,neutral,neutral
"blyk launch first uk market mid- , market follow .",neutral,neutral
petrofac book â£ cost shetland gas terminal delay,negative,negative
"swedish engineering consultant firm etteplan establish unit town borl+ñnge , turn month march - april .",neutral,neutral
"agreement sign biohit healthcare ltd , uk - base subsidiary biohit oyj , finnish public company develop , manufacture market liquid handling product diagnostic test system .",positive,positive
finland ' poyry energy contract advise builder new cogeneration power plant lithuania ' second - big city kaunas supervise construction process .,positive,positive
"@dlerch lol ! $ fmcn back $ , darn short ! chit sherlock !",negative,negative
total value delivery eurm .,neutral,neutral
"also , bmo initiate $ incy outperform yesterday , several firm reiterate buy rating .",positive,positive
` nordic infrastructure construction one strategic growth area .,neutral,neutral
share transaction part company ' strategy relinquish asset part core business .,neutral,neutral
net sale decrease eur . mn eur mn corresponding period .,neutral,-1
"companiesandmarkets.com provide wide range research report , industry statistic competitive intelligence industrial sector .",neutral,neutral
"technopolis finnish operation oulu , vantaa , espoo , lappeenranta , jyvaskyla tampere also prepare expand operation russia .",neutral,neutral
"eps continue operation come . eur , . .",positive,positive
"open next year , large facility world produce diesel fuel renewable feedstock palm oil animal fat .",positive,positive
"european stock hover near -week low , dialog bhp slump",negative,negative
value deal estimate sekm sekm .,neutral,neutral
"company say investment new market area result sale increase sweden , poland , russia lithuania .",positive,positive
"operate profit eur - . mn , eur . mn .",negative,-1
"part reorganisation measure take place spring , tamglass finton start personnel negotiation affect entire staff .",negative,-1
output contract total mwe .,neutral,neutral
"capacity cut . % , passenger load factor . percentage point .",neutral,-1
$ yelp go green many short toast !,positive,positive
"yit ' baltic sale first three quarter total . million euro , represent drop percent year year .",negative,-1
"new kroksberg railway tunnel build new section track harnosand veda , form part line follow coast gulf bothnia .",neutral,neutral
vivus $ vvus bear raid effect . stock %,negative,negative
"erkki jarvinen , president rautakirja head sanoma trade division , leave current task spring similar position outside sanoma group .",neutral,neutral
"red daily triangle $ shor, ... scale long position",positive,positive
"adp news - feb , - finnish retailer kesko oyj hel : kesbv say today total sale , exclude value add tax vat , stand eur . million usd . january , . % year -- yea",neutral,-1
fortum consider take part nuclear energy project outside finland .,neutral,neutral
"- joint venture , call nokia siemens networks , comprise nokia ' network business group siemens ' carrier - relate operation , create estimate synergy . billion euro ( $ . billion ) , nokia say .",positive,positive
"company operate four principal division : consumer packaging ; office papers ; speciality papers , well market pulp energy .",neutral,neutral
"zip , '' expert warn tuesday .",neutral,neutral
tesco shareholder back itv head chairman,positive,positive
"subscriber china unicom , nation ' second large mobile phone operator china mobile , expect release picture , video blog internet via mobile phone march .",neutral,neutral
currently quarterly apply surcharge differ significantly actual market price .,neutral,neutral
"$ kndi break hod volume , nice consolidation complete another run .",positive,positive
"party also agree l+ñnnen tehtaat right sell remain share suomen rehu hankkija - maatalous month purchase majority holding , early .",neutral,neutral
) complete name shareholder : otto henrik bernhard nyberg ) information : amount share transfer correspond . % total number share aspo plc . .,neutral,neutral
unc charlotte would also deploy ssh tectia connector enable secure application connectivity .,neutral,neutral
also chile important market area forest machine company .,neutral,neutral
"developer project predict complete april , skanssi attract . million visitor annually .",positive,positive
"operate loss amount eur . mn , compare profit eur . mn year early .",negative,-1
"popular mobile datum service email , surf internet , well news weather service .",neutral,neutral
"telecom foreign investment limit % , appear mobile vas , mean tecnoman pick much . % .",neutral,neutral
march leakage gypsum pond detect today talvivaara mine .,negative,-1
follow increase company+óeur tm capital total . mln romanian lei $ . mln- . mln euro .,neutral,neutral
radiation today full service house expert radiation nuclear safety issue .,neutral,neutral
"tesla motors recall , model x suv $ tsla",negative,negative
"finnish flexible packaging manufacturer suominen corporation report net sale eur . mn first quarter , compare eur . mn year early .",positive,positive
"new delhi , feb. -- korteniemi anneli , helokunnas tuija , peltola marjo , keskinen jukka , salminen jussi , tusa kia janhonen risto nokia telecommunications oy , espoo , finland develop cable adjustment device .",neutral,neutral
"$ amzn period rsi , read connors book trading strategy",positive,positive
"koff ' market share volume market . % , karhu ' . % .",neutral,neutral
"pge belchatow run . gw belchatow coal - fire power plant , fortum intention start ccs demonstration project jointly teollisuuden voima oyj ( tvo ) - another finnish utility - jointly own mw meri - pori coal - fire facility .",neutral,neutral
board director authorize decide term share issue .,neutral,neutral
"net income life insurance rise eur . mn eur . mn , net income non - life insurance eur . mn eur . mn .",positive,positive
christmas save sainsbury ' plc tesco plc ?,negative,negative
", group ' net sale stand eur million , employee .",neutral,neutral
"program include operational improvement reduction personnel , mainly netherlands .",neutral,neutral
` ` customer satisfy basware invoice automation solution extend implementation new geography .,positive,positive
growth net sale continue favourably middle east africaand asia pacific .,positive,positive
company propose dividend eur . per share .,neutral,neutral
$ amcn push high,positive,positive
"operate profit net sale -month period increase , respectively eur . eur . , compare financial year .",positive,positive
"key shareholder finnish service provider tietoenator oyj friday reject hostile eur . billion $ . billion offer buyout shop nordic capital , give new life possible counter offer blackstone group lp norwegian telecom telenor asa .",positive,positive
"operate loss total eur . mn , profit eur . mn first half .",neutral,-1
"currently , company use eight similar reach stacker four empty container handler konecranes .",neutral,neutral
$ aapl want low . wave get small min,negative,negative
plan ethanol energy production plant operate correlation waste treatment unit paper mill .,neutral,neutral
basic banking activity continue normal .,neutral,neutral
raisio site main production plant well company headquarters .,neutral,neutral
tesco sell blinkbox broadband service talktalk,positive,positive
"switzerland , teleste establish supplier product long time primary customer include cable fiber --- home ( ftth ) operator .",neutral,neutral
ahlstrom ' share quote nasdaq omx helsinki .,neutral,neutral
"composite body coat hard coating layer produce thermal spraying , coat ground . ''",neutral,neutral
"- demand fireplace product lower expect , especially germany .",negative,-1
"net sale kyro ' main business area , glaston technologies , manufacturer glass processing machine , decrease eur . mn eur . mn january - september .",neutral,-1
sale fall abroad increase finland .,neutral,neutral
fiskar undertake community project throughout uk also lookout local volunteer interested help select restoration project .,neutral,neutral
"elcoteq se stock exchange announcement february , . ( eet ) elcoteq publish financial statement bulletin wednesday , february , . ( eet ) .",neutral,neutral
nasdaq set breakout part ii | via @allstarchart $ goog $ amzn $ qcom,positive,positive
aim annual improvement ruukki construction ' operating profit eur million usd . start .,positive,positive
"-depth expertise extend field energy , industry , urban & mobility water & environment .",neutral,neutral
"uk housing market steady brexit dip , persimmon say",positive,positive
ponsse divide sale maintenance service network six geographical area .,neutral,neutral
"transaction , alma media raise stake talentum . % share . % voting right .",positive,positive
pharmaceuticals group orion corp report fall third - quarter earning hit large expenditure r & marketing .,neutral,-1
"food trade , sale amount eur . , decline . % .",negative,-1
' buy arm holdings plc bhp billiton plc today,positive,positive
$ aapl clearing descend trend line / buy area,positive,positive
novartis buy remain right gsk treatment deal $ billion,positive,positive
"' even little bit high yara ' multiple , ' analyst helsinki say .",neutral,neutral
"teollisuuden voima oyj , finnish utility know tvo , say shortlist mitsubishi heavy eu - apwr model along reactor areva , toshiba corp. , ge hitachi nuclear energy korea hydro & nuclear power co. .",neutral,neutral
"lifetree found , revenue rise average % margin late .",positive,positive
share subscribe eligible trade follow day registration .,neutral,neutral
"handelsbanken rank local cooperative banks aktia customer loyalty time , however .",positive,positive
"one opportunity would bring baltic meat processing rakvere , like processing concentrated vantaa meat - pack unit finland , paper write .",neutral,neutral
"net sale kyro ' main business area , glaston technologies , manufacturer glass processing machine , decrease eur . mn eur . mn january - september .",negative,-1
@renatta @frvan @kjepeneter @rptl strong close $ plnr come,positive,positive
"action follow personnel negotiation concern elcoteq se , finnish branch , elcoteq finland oy elcoteq design center oy .",neutral,neutral
"` ` uncommonly weak snow condition nearly every market affect first quarter result , '' chief executive roger talermo say .",neutral,-1
"currently operate fleet eight carrier , well nine pusher barge .",neutral,neutral
"company ' profit taxis fall eur . mn third quarter , compare eur . mn corresponding period .",negative,-1
profit take $ aapl morning ? pressure stock . ' still bullish $ aapl .,positive,positive
capital structure solidium may complement financial instrument future .,neutral,neutral
transaction plan finance eurm market - base loan grant standard chartered bank hong kong .,neutral,neutral
"jon risfelt previously hold operational executive position europolitan , ericsson , sas , american express card travel division , well nyman & schultz ( ceo ) , vodafone sweden ( ceo ) , gambro renal products ( ceo ) .",neutral,neutral
hobby hall ' sale decrease pct due implement new information system involve change principal post sale .,neutral,-1
@mugatushair time short $ tsla,negative,negative
"q , bank + àland ' net interest income weaken % eur . mn .",negative,-1
contract involve refurbish bathroom unit well -plumbe water sewer pipe .,neutral,neutral
total project duration three year value eur . .,neutral,neutral
"total floor area plant expansion , square metre .",neutral,neutral
` ` printed fabric relate design expertise always core marimekko ' business brand .,neutral,neutral
"$ dnn pick , like go",positive,positive
"january - september , fiskars ' net profit go % year -- year eur . million net sale eur . million eur . million .",positive,-1
"period - end cash cash equivalent total eur . , compare eur . previous year .",neutral,-1
"tulikivi manufacture heat - retain , soapstone ceramic fireplace , well natural stone product utility ceramic .",neutral,neutral
"` ` group volunteer make digicel employee manage distribution ... next week , distribute , tent organization , '' digicel haiti ceo maarten boute say .",neutral,neutral
"finland , sampo bank , part danske bank group , lie staff administrative support function .",negative,-1
"teliasonera ' underlie result however include mln skr positive one - off , hence adjust underlie ebitda actually amount . bln skr , clearly expectation , analyst say .",neutral,-1
$ hcp come party buy -gonna give solid gain dividend $ $ $ $ $ $,positive,positive
phone target first time user growth market .,neutral,neutral
revenue time grow percent million euro .,positive,positive
drugmaker shire buy baxalta $ billion -month pursuit,positive,positive
"full - year net sale expect increase approximately % , company say .",positive,positive
"tighten competition situation production automation market affect net sale , cencorp say .",negative,-1
survey conduct taloustutkimus sampo life show company badly prepared lose key staff member .,negative,-1
company slip operating loss eur . million profit eur . million .,negative,-1
$ fb nice buyable intraday dip right,positive,positive
"@brooklynbandit : $ simo base nice . close . bullish $ qqq $ spy $ study watch close near hod . currently + % "" + %",positive,positive
"via takeover , panostaja expand business area specialise digital printing , since previously consist subsidiary kopijyva oy sokonet oy .",positive,positive
"ferry run trouble outside stockholm archipelago , make , island .",neutral,-1
accord deputy md pekka silvennoinen aim double turnover next three year .,positive,positive
